National Flag,Area,Population,Iso,Country,Capital,Continent,Tld,Currency Code,Currency Name,Phone,Postal Code Format,Postal Code Regex,Languages,Neighbours,Date/Time
/places/static/images/flags/af.png,647500 square kilometres,29121286,AF,Afghanistan,Kabul,AS,.af,AFN,Afghani,93,None,None,"fa-AF,ps,uz-AF,tk","['TM', 'CN', 'IR', 'TJ', 'PK', 'UZ']",2022-03-30 12:37:17.995996
/places/static/images/flags/ax.png,1580 square kilometres,26711,AX,Aland Islands,Mariehamn,EU,.ax,EUR,Euro,+358-18,#####,^(?:FI)*(\d{5})$,sv-AX,None,2022-03-30 11:45:02.581940
/places/static/images/flags/al.png,28748 square kilometres,2986952,AL,Albania,Tirana,EU,.al,ALL,Lek,355,None,None,"sq,el","['MK', 'GR', 'CS', 'ME', 'RS', 'XK']",2022-03-30 12:34:09.117767
/places/static/images/flags/dz.png,2381740 square kilometres,34586184,DZ,Algeria,Algiers,AF,.dz,DZD,Dinar,213,#####,^(\d{5})$,ar-DZ,"['NE', 'EH', 'LY', 'MR', 'TN', 'MA', 'ML']",2022-03-30 11:45:02.814038
/places/static/images/flags/as.png,199 square kilometres,57881,AS,American Samoa,Pago Pago,OC,.as,USD,Dollar,+1-684,None,None,"en-AS,sm,to",None,2022-03-30 11:45:02.934256
